client_id,birth_number,district_id
164,625404,70
170,465616,38
171,290625,51
200,285113,29
201,305819,17
208,405625,13
211,455628,66
215,670924,71
219,645402,60
237,695222,70
239,745910,1
248,696212,61
251,765303,54
257,426104,22
258,370531,22
265,335107,72
269,236203,15
271,455727,46
278,726227,22
297,245315,65
321,436024,47
322,330201,38
355,300531,49
357,790330,1
378,780515,50
385,480324,45
400,331227,1
405,346019,65
409,250618,74
412,440417,17
416,326007,1
425,480212,25
433,550207,62
438,380928,32
479,470820,11
490,501023,55
491,660805,63
494,800519,1
498,485115,74
512,655803,60
516,305427,1
523,221217,38
526,640201,43
528,770211,37
534,570722,74
536,390825,47
548,371204,49
550,611130,7
551,765705,47
563,615909,72
565,595703,64
586,471103,40
589,610917,45
590,490215,44
598,701231,1
604,655731,1
610,795810,74
625,786124,60
630,520303,61
637,706215,39
639,780802,31
647,290406,34
655,421210,32
667,815720,26
670,590121,1
678,335528,39
691,445113,38
695,550627,28
698,540227,75
699,225422,26
704,750501,54
706,480805,1
708,776127,50
731,795122,74
732,780705,74
742,516015,1
746,620416,52
749,335729,25
750,565929,70
762,370420,21
766,265703,1
776,535503,1
789,310921,4
798,405212,27
808,631128,31
811,400528,58
812,401206,39
818,660427,54
827,655904,10
840,370426,20
847,791225,49
859,685729,1
870,570506,70
872,630222,35
877,275121,5
898,435427,38
900,770410,73
901,191221,39
907,480311,51
910,610927,1
917,735916,25
925,590813,54
927,741026,1
943,360926,12
944,701218,39
949,760727,3
968,570217,69
970,570329,36
975,595712,1
979,661118,56
1007,380105,46
1008,560706,6
1010,550816,33
1013,730312,70
1025,640708,15
1029,545316,1
1034,746111,52
1045,476224,60
1049,421111,1
1067,520514,1
1070,381202,54
1071,250125,43
1076,795511,53
1083,371215,48
1100,510704,59
1114,800618,59
1115,205824,36
1117,766101,20
1118,691103,20
1121,390302,59
1124,280412,21
1131,476028,55
1132,480321,55
1136,765918,9
1137,775305,1
1178,716004,1
1197,666002,6
1204,746109,77
1207,395917,28
1208,755901,70
1210,611012,6
1214,401115,61
1215,440506,45
1216,455612,65
1220,536216,40
1226,515414,33
1227,551002,33
1229,710202,19
1245,790813,64
1253,675828,14
1276,425426,68
1279,560711,16
1280,520508,34
1307,530408,74
1314,755609,54
1316,466113,67
1322,455922,4
1333,490420,48
1341,625617,69
1343,395816,1
1349,685107,26
1360,460819,1
1365,385223,1
1369,781023,41
1376,580903,18
1383,821005,29
1395,411018,49
1403,445102,44
1406,486112,29
1424,520105,8
1429,275904,12
1434,670325,72
1441,316205,42
1443,350125,29
1447,525621,70
1463,365126,70
1467,240930,65
1475,320331,19
1489,280124,6
1526,355315,1
1542,191208,31
1557,596214,35
1566,666020,15
1572,636212,1
1582,340214,54
1584,625129,1
1589,516127,48
1605,805921,52
1616,380523,54
1617,505430,5
1618,796207,17
1620,360515,74
1631,760430,74
1633,725828,55
1660,826211,1
1662,670907,53
1663,570429,19
1666,410831,1
1673,720709,48
1677,465907,53
1690,475817,46
1697,645110,55
1699,550311,17
1722,331001,68
1728,465818,32
1730,321215,40
1733,745720,57
1734,751110,26
1746,595910,11
1748,761231,64
1763,671207,46
1764,710709,66
1770,516015,12
1781,240816,67
1782,481224,19
1783,466005,1
1785,751125,39
1788,500323,1
1789,335807,61
1790,530528,1
1796,381123,10
1799,590626,36
1812,475517,36
1820,286120,50
1824,600803,69
1827,415816,13
1838,596127,67
1839,366218,5
1861,570715,29
1865,495609,22
1869,335214,1
1903,395830,1
1911,385421,48
1915,390909,39
1920,750807,42
1926,355208,37
1929,555815,65
1934,336121,70
1935,295512,68
1938,395930,57
1949,420623,71
1952,715309,52
1954,520728,69
1959,201226,1
1963,450612,38
1964,310805,17
1967,636115,1
2000,425509,39
2008,400607,47
2012,230627,46
2020,256220,73
2045,560822,28
2046,525826,28
2059,720630,43
2070,725723,70
2073,560208,22
2074,615916,24
2083,430312,71
2084,295216,1
2090,701007,70
2091,285117,48
2096,745906,74
2097,361111,53
2099,180116,1
2101,350624,33
2111,245529,57
2113,370404,68
2115,145301,51
2134,171214,53
2144,605128,15
2155,580610,15
2158,810506,10
2164,411029,47
2165,455302,47
2166,475722,30
2172,295821,7
2173,516217,56
2178,390809,46
2179,396027,9
2182,296201,75
2187,330312,40
2192,565412,1
2198,205222,17
2199,111209,17
2222,345803,1
2240,325312,47
2243,800704,1
2248,751024,7
2261,561113,62
2264,430508,4
2271,641107,61
2275,655724,9
2279,531106,52
2281,785606,76
2283,610809,1
2290,545530,31
2305,495610,70
2318,235919,20
2325,555203,2
2330,486117,40
2340,530502,42
2364,715426,56
2382,276025,62
2388,710729,42
2392,550521,26
2405,750821,27
2413,610809,46
2421,701110,48
2423,570709,42
2427,346130,74
2452,525607,64
2454,405904,69
2455,191104,72
2491,395320,5
2492,431213,5
2497,625406,34
2514,570211,59
2515,580603,12
2520,440730,62
2522,370908,74
2526,640726,1
2558,590118,30
2565,460522,64
2567,430530,64
2577,180107,70
2587,735103,8
2588,580519,33
2606,430104,31
2613,771026,1
2616,700707,50
2619,695709,63
2623,655716,16
2626,400214,1
2639,505304,45
2642,730904,22
2646,375607,63
2650,750305,75
2666,355706,47
2679,380930,1
2681,715104,45
2688,676024,60
2698,706007,31
2699,770223,31
2700,450222,34
2705,240430,43
2707,690523,45
2712,560117,25
2738,510425,1
2741,306129,41
2743,396004,50
2762,535423,29
2765,815420,36
2768,640402,1
2777,705328,46
2815,300630,35
2830,741114,51
2836,195921,38
2845,520902,7
2848,390220,34
2850,700820,7
2856,231111,47
2858,265212,42
2865,481118,15
2880,521230,60
2885,656004,1
2887,615129,2
2889,431205,25
2890,511011,62
2891,575723,62
2894,485725,70
2895,775517,70
2900,230322,18
2901,395109,25
2903,591126,8
2912,255728,45
2923,775321,35
2930,410322,41
2932,405711,1
2935,445502,61
2937,490701,74
2940,651016,1
2941,510312,38
2944,435823,71
2948,781120,47
2955,520716,38
2964,781127,8
2966,550220,65
2969,230422,55
2972,760114,1
2975,435318,33
2983,670723,6
2990,385402,32
2991,410731,32
2998,610402,1
2999,795324,74
3009,575803,62
3029,700508,43
3030,765510,68
3031,655905,40
3041,275424,4
3051,280311,65
3061,656005,61
3066,825309,54
3069,431023,21
3076,626117,57
3079,430519,67
3084,515824,23
3088,500611,40
3096,820227,74
3098,380623,17
3103,735307,64
3112,390912,24
3115,611130,72
3121,566018,57
3124,585102,5
3126,380113,47
3132,755324,1
3140,590413,46
3141,256109,9
3147,645426,19
3158,406125,1
3164,620910,1
3172,511223,64
3176,370707,1
3186,555114,1
3199,576218,1
3205,215625,1
3220,570217,23
3230,825606,1
3231,610603,21
3240,376210,67
3242,375304,26
3245,521202,70
3246,310420,66
3259,501015,71
3260,425908,74
3266,601008,47
3273,180102,9
3278,625420,42
3282,810902,29
3291,470123,52
3292,400121,18
3294,570308,52
3296,690611,23
3298,425805,5
3311,540825,51
3315,340621,24
3316,476215,1
3322,480229,31
3323,815222,74
3328,661011,24
3333,495724,10
3347,360119,11
3348,785214,38
3352,190912,23
3354,436028,62
3360,765831,43
3371,196007,25
3382,540228,54
3399,320225,72
3404,406011,56
3417,855318,35
