order_id,account_id,bank_to,account_to,amount,k_symbol
29489,59,IJ,38201576,695.0,SIPO
29490,59,ST,65394794,6190.0, 
29541,88,ST,72993069,2268.0,SIPO
29572,102,EF,24946403,7370.2,UVER
29573,102,KL,63927906,3373.0,SIPO
29574,102,UV,97521966,377.0, 
29576,104,MN,82782172,578.0,SIPO
29577,104,ST,8965999,1464.0, 
29579,106,WX,46916538,3735.0,SIPO
29591,114,QR,78667527,1590.0,SIPO
29592,114,MN,90660798,533.0,SIPO
29598,119,ST,21662587,8252.0,SIPO
29604,123,KL,97764080,3016.0,SIPO
29612,130,IJ,2152455,3969.0,SIPO
29619,137,GH,71138578,3464.0,SIPO
29620,137,UV,34738314,787.0, 
29625,142,YZ,23734498,1845.0,SIPO
29653,166,QR,26919090,3044.0,SIPO
29658,172,OP,11598539,4221.0,SIPO
29667,176,GH,53236597,2288.3,UVER
29668,176,AB,55640232,4564.0,SIPO
29669,176,OP,90734010,36.0, 
29670,176,QR,11736327,97.0,POJISTNE
29701,197,EF,67286312,9454.0,SIPO
29713,206,KL,75771987,2902.0,SIPO
29717,208,AB,9118587,4148.0,SIPO
29718,208,CD,77937751,1767.0, 
29719,208,UV,98481541,986.0,POJISTNE
29720,208,OP,28241002,545.0, 
29728,214,EF,26426023,2097.0,SIPO
29737,220,QR,26923066,3095.0,SIPO
29740,224,EF,63218277,3503.0,SIPO
29752,231,WX,51732343,2073.0,SIPO
29776,246,YZ,8283996,1970.0,SIPO
29800,266,WX,96796440,4975.2,LEASING
29801,267,KL,4520118,3074.0,SIPO
29865,311,CD,93944477,4777.0,SIPO
29866,311,WX,80353498,371.0, 
29867,311,GH,47159934,3375.0,POJISTNE
29868,311,YZ,37490087,355.0, 
29869,311,YZ,67794364,422.0,UVER
29874,315,MN,6354302,3509.0,UVER
29891,328,OP,10446250,1287.0,SIPO
29892,328,GH,3014916,1145.0,SIPO
29896,331,UV,55443829,3528.0,SIPO
29903,335,GH,80065911,2697.0,SIPO
29909,340,CD,26790029,917.0,SIPO
29910,340,YZ,80708729,901.0,SIPO
29925,355,WX,5620038,5012.0,SIPO
29926,355,GH,28271162,2927.0, 
30019,405,EF,24659914,1339.0,LEASING
30020,405,MN,56718403,9632.0,SIPO
30021,405,WX,11276412,1497.0, 
30022,405,KL,1622963,3579.0,POJISTNE
30023,406,UV,36316532,1800.0,SIPO
30024,406,KL,28461408,264.0, 
30028,409,QR,11262268,6810.0,SIPO
